,Cell type,X location,Y location,Z location
125,Pyr in SP layer,216,976,314
126,Pyr in SP layer,104,952,314
127,Pyr in SP layer,184,80,306
128,Pyr in SP layer,272,216,298
129,Pyr in SP layer,376,744,314
130,Pyr in SP layer,320,704,322
131,Pyr in SP layer,64,872,314
132,Pyr in SP layer,352,96,322
133,Pyr in SP layer,32,1000,298
134,Pyr in SP layer,368,16,322
135,Pyr in SP layer,216,376,322
136,Pyr in SP layer,240,544,314
137,Pyr in SP layer,296,296,298
138,Pyr in SP layer,128,736,290
139,Pyr in SP layer,128,488,290
140,Pyr in SP layer,64,808,322
141,Pyr in SP layer,128,232,322
142,Pyr in SP layer,216,960,298
143,Pyr in SP layer,72,928,322
144,Pyr in SP layer,136,800,290
145,Pyr in SP layer,264,616,314
146,Pyr in SP layer,168,896,314
147,Pyr in SP layer,72,400,322
148,Pyr in SP layer,368,456,290
149,Pyr in SP layer,104,496,298
150,Pyr in SP layer,280,344,322
151,Pyr in SP layer,320,912,290
152,Pyr in SP layer,280,344,298
153,Pyr in SP layer,280,944,306
154,Pyr in SP layer,384,672,322
155,Pyr in SP layer,8,864,306
156,Pyr in SP layer,400,672,322
157,Pyr in SP layer,368,368,290
158,Pyr in SP layer,216,728,314
159,Pyr in SP layer,272,752,314
160,Pyr in SP layer,152,872,314
161,Pyr in SP layer,112,848,290
162,Pyr in SP layer,144,344,306
163,Pyr in SP layer,352,880,298
164,Pyr in SP layer,344,72,322
165,Pyr in SP layer,40,136,290
166,Pyr in SP layer,360,496,298
167,Pyr in SP layer,120,896,298
168,Pyr in SP layer,40,592,298
169,Pyr in SP layer,128,400,322
170,Pyr in SP layer,64,40,306
171,Pyr in SP layer,224,488,322
172,Pyr in SP layer,360,976,322
173,Pyr in SP layer,368,896,314
174,Pyr in SP layer,8,64,290
175,Pyr in SP layer,232,664,298
176,Pyr in SP layer,328,312,298
177,Pyr in SP layer,56,816,298
178,Pyr in SP layer,40,704,290
179,Pyr in SP layer,136,208,306
180,Pyr in SP layer,64,696,306
181,Pyr in SP layer,128,360,290
182,Pyr in SP layer,72,144,306
183,Pyr in SP layer,336,224,306
184,Pyr in SP layer,32,712,306
185,Pyr in SP layer,312,464,306
186,Pyr in SP layer,296,888,298
187,Pyr in SP layer,376,856,314
188,Pyr in SP layer,240,976,298
189,Pyr in SP layer,24,216,322
190,Pyr in SP layer,64,80,314
191,Pyr in SP layer,104,320,290
192,Pyr in SP layer,400,528,322
193,Pyr in SP layer,32,528,322
194,Pyr in SP layer,312,400,314
195,Pyr in SP layer,8,632,298
196,Pyr in SP layer,72,432,314
197,Pyr in SP layer,136,112,298
198,Pyr in SP layer,184,280,314
199,Pyr in SP layer,32,536,306
200,Pyr in SP layer,240,640,306
201,Pyr in SP layer,120,128,298
202,Pyr in SP layer,312,120,290
203,Pyr in SP layer,112,248,306
204,Pyr in SP layer,352,80,290
205,Pyr in SP layer,24,408,322
206,Pyr in SP layer,24,824,314
207,Pyr in SP layer,240,952,290
208,Pyr in SP layer,400,760,290
209,Pyr in SP layer,304,376,314
210,Pyr in SP layer,152,888,322
211,Pyr in SP layer,184,472,322
212,Pyr in SP layer,240,456,306
213,Pyr in SP layer,160,576,322
214,Pyr in SP layer,208,800,306
215,Pyr in SP layer,352,232,322
216,Pyr in SP layer,384,760,314
217,Pyr in SP layer,208,416,306
218,Pyr in SP layer,136,8,290
219,Pyr in SP layer,384,344,306
220,Pyr in SP layer,160,144,298
221,Pyr in SP layer,216,336,290
222,Pyr in SP layer,304,624,322
223,Pyr in SP layer,392,192,306
224,Pyr in SP layer,120,552,290
225,Pyr in SP layer,224,976,306
226,Pyr in SP layer,88,496,314
227,Pyr in SP layer,312,368,314
228,Pyr in SP layer,32,328,314
229,Pyr in SP layer,248,776,314
230,Pyr in SP layer,224,328,322
231,Pyr in SP layer,224,688,306
232,Pyr in SP layer,0,536,322
233,Pyr in SP layer,280,16,322
234,Pyr in SP layer,24,744,290
235,Pyr in SP layer,72,648,306
236,Pyr in SP layer,136,112,290
237,Pyr in SP layer,384,360,290
238,Pyr in SP layer,96,848,298
239,Pyr in SP layer,72,168,322
240,Pyr in SP layer,136,376,290
241,Pyr in SP layer,264,888,306
242,Pyr in SP layer,352,744,298
243,Pyr in SP layer,104,952,298
244,Pyr in SP layer,152,728,298
245,Pyr in SP layer,168,144,306
246,Pyr in SP layer,120,216,322
247,Pyr in SP layer,16,544,322
248,Pyr in SP layer,8,488,306
249,Pyr in SP layer,328,528,314
250,Pyr in SP layer,24,160,290
251,Pyr in SP layer,304,584,298
252,Pyr in SP layer,272,896,306
253,Pyr in SP layer,200,600,306
254,Pyr in SP layer,208,56,314
255,Pyr in SP layer,8,16,306
256,Pyr in SP layer,112,136,322
257,Pyr in SP layer,72,120,290
258,Pyr in SP layer,392,384,306
259,Pyr in SP layer,264,792,322
260,Pyr in SP layer,24,752,298
261,Pyr in SP layer,400,840,298
262,Pyr in SP layer,304,656,322
263,Pyr in SP layer,64,152,306
264,Pyr in SP layer,240,760,306
265,Pyr in SP layer,184,408,290
266,Pyr in SP layer,128,984,298
267,Pyr in SP layer,32,208,298
268,Pyr in SP layer,368,296,306
269,Pyr in SP layer,344,144,290
270,Pyr in SP layer,232,272,314
271,Pyr in SP layer,176,16,306
272,Pyr in SP layer,240,696,322
273,Pyr in SP layer,288,488,322
274,Pyr in SP layer,120,560,298
275,Pyr in SP layer,216,128,298
276,Pyr in SP layer,56,264,306
277,Pyr in SP layer,216,296,306
278,Pyr in SP layer,344,592,306
279,Pyr in SP layer,24,856,322
280,Pyr in SP layer,112,800,314
281,Pyr in SP layer,32,752,322
282,Pyr in SP layer,232,424,322
283,Pyr in SP layer,16,712,290
284,Pyr in SP layer,136,488,298
285,Pyr in SP layer,88,896,306
286,Pyr in SP layer,168,0,298
287,Pyr in SP layer,400,280,298
288,Pyr in SP layer,48,88,314
289,Pyr in SP layer,32,112,298
290,Pyr in SP layer,328,808,298
291,Pyr in SP layer,48,480,290
292,Pyr in SP layer,256,96,314
293,Pyr in SP layer,344,888,314
294,Pyr in SP layer,120,104,322
295,Pyr in SP layer,200,8,290
296,Pyr in SP layer,264,0,306
297,Pyr in SP layer,8,160,306
298,Pyr in SP layer,216,624,298
299,Pyr in SP layer,328,608,306
300,Pyr in SP layer,344,624,298
301,Pyr in SP layer,192,192,314
302,Pyr in SP layer,232,376,306
303,Pyr in SP layer,272,688,306
304,Pyr in SP layer,144,920,306
305,Pyr in SP layer,192,344,314
306,Pyr in SP layer,272,312,290
307,Pyr in SP layer,328,296,298
308,Pyr in SP layer,208,768,314
309,Pyr in SP layer,168,624,322
310,Pyr in SP layer,176,256,322
311,Pyr in SP layer,400,208,314
312,Pyr in SP layer,136,0,290
313,Pyr in SP layer,208,360,322
314,Pyr in SP layer,72,96,322
315,Pyr in SP layer,128,344,314
316,Pyr in SP layer,72,520,298
317,Pyr in SP layer,240,88,314
318,Pyr in SP layer,376,688,290
319,Pyr in SP layer,352,352,306
320,Pyr in SP layer,224,752,306
321,Pyr in SP layer,184,240,298
322,Pyr in SP layer,400,408,290
323,Pyr in SP layer,264,776,290
324,Pyr in SP layer,400,880,306
325,Pyr in SP layer,216,88,314
326,Pyr in SP layer,120,816,306
327,Pyr in SP layer,296,984,298
328,Pyr in SP layer,120,520,306
329,Pyr in SP layer,248,792,314
330,Pyr in SP layer,160,872,306
331,Pyr in SP layer,224,328,290
332,Pyr in SP layer,376,368,290
333,Pyr in SP layer,168,688,322
334,Pyr in SP layer,0,568,314
335,Pyr in SP layer,224,984,322
336,Pyr in SP layer,16,984,298
337,Pyr in SP layer,296,696,322
338,Pyr in SP layer,256,432,322
339,Pyr in SP layer,120,608,322
340,Pyr in SP layer,72,480,290
341,Pyr in SP layer,240,984,322
342,Pyr in SP layer,104,920,306
343,Pyr in SP layer,168,128,322
344,Pyr in SP layer,384,792,314
345,Pyr in SP layer,272,696,298
346,Pyr in SP layer,336,584,306
347,Pyr in SP layer,240,960,314
348,Pyr in SP layer,24,1000,298
349,Pyr in SP layer,24,648,306
350,Pyr in SP layer,8,664,298
351,Pyr in SP layer,384,592,306
352,Pyr in SP layer,72,48,298
353,Pyr in SP layer,104,824,314
354,Pyr in SP layer,232,544,298
355,Pyr in SP layer,200,264,314
356,Pyr in SP layer,120,208,298
357,Pyr in SP layer,384,624,322
358,Pyr in SP layer,0,464,290
359,Pyr in SP layer,192,144,298
360,Pyr in SP layer,232,312,290
361,Pyr in SP layer,264,608,322
362,Pyr in SP layer,8,224,298
363,Pyr in SP layer,184,776,314
364,Pyr in SP layer,392,256,314
365,Pyr in SP layer,224,40,322
366,Pyr in SP layer,280,712,290
367,Pyr in SP layer,160,832,306
368,Pyr in SP layer,328,928,314
369,Pyr in SP layer,104,424,306
370,Pyr in SP layer,184,376,322
371,Pyr in SP layer,232,944,298
372,Pyr in SP layer,32,768,306
373,Pyr in SP layer,56,624,298
374,Pyr in SP layer,264,392,322
375,Pyr in SP layer,88,752,290
376,Pyr in SP layer,400,144,314
377,Pyr in SP layer,392,544,298
378,Pyr in SP layer,56,48,306
379,Pyr in SP layer,344,400,290
380,Pyr in SP layer,264,848,322
381,Pyr in SP layer,112,352,306
382,Pyr in SP layer,328,112,322
383,Pyr in SP layer,184,832,298
384,Pyr in SP layer,192,248,314
385,Pyr in SP layer,152,976,298
386,Pyr in SP layer,72,512,290
387,Pyr in SP layer,224,312,322
388,Pyr in SP layer,16,288,306
389,Pyr in SP layer,48,96,298
390,Pyr in SP layer,328,40,290
391,Pyr in SP layer,200,64,306
392,Pyr in SP layer,64,176,314
393,Pyr in SP layer,32,736,306
394,Pyr in SP layer,192,656,322
395,Pyr in SP layer,304,592,322
396,Pyr in SP layer,72,96,290
397,Pyr in SP layer,312,64,322
398,Pyr in SP layer,360,664,290
399,Pyr in SP layer,352,792,306
400,Pyr in SP layer,96,928,290
401,Pyr in SP layer,104,352,322
402,Pyr in SP layer,368,168,322
403,Pyr in SP layer,264,16,298
404,Pyr in SP layer,80,776,298
405,Pyr in SP layer,160,928,290
406,Pyr in SP layer,312,240,290
407,Pyr in SP layer,192,744,290
408,Pyr in SP layer,0,856,290
409,Pyr in SP layer,192,304,298
410,Pyr in SP layer,392,224,314
411,Pyr in SP layer,320,632,322
412,Pyr in SP layer,248,248,298
413,Pyr in SP layer,0,88,290
414,Pyr in SP layer,312,784,314
415,Pyr in SP layer,296,520,290
416,Pyr in SP layer,280,168,322
417,Pyr in SP layer,104,712,314
418,Pyr in SP layer,136,840,314
419,Pyr in SP layer,304,912,314
420,Pyr in SP layer,24,480,322
421,Pyr in SP layer,288,632,306
422,Pyr in SP layer,344,152,322
423,Pyr in SP layer,248,696,306
424,Pyr in SP layer,232,320,290
425,Pyr in SP layer,328,496,290
426,Pyr in SP layer,360,560,322
427,Pyr in SP layer,312,584,306
428,Pyr in SP layer,224,872,314
429,Pyr in SP layer,304,768,314
430,Pyr in SP layer,192,304,322
431,Pyr in SP layer,296,24,306
432,Pyr in SP layer,256,160,314
433,Pyr in SP layer,16,840,306
434,Pyr in SP layer,392,40,290
435,Pyr in SP layer,352,488,290
436,Pyr in SP layer,72,256,290
437,Pyr in SP layer,160,272,306
438,Pyr in SP layer,360,936,306
439,Pyr in SP layer,288,768,290
440,Pyr in SP layer,392,816,322
441,Pyr in SP layer,80,880,298
442,Pyr in SP layer,352,480,298
443,Pyr in SP layer,88,96,290
444,Pyr in SP layer,264,744,290
445,Pyr in SP layer,320,216,306
446,Pyr in SP layer,104,832,298
447,Pyr in SP layer,88,208,322
448,Pyr in SP layer,144,696,314
449,Pyr in SP layer,0,800,314
450,Pyr in SP layer,248,24,322
451,Pyr in SP layer,80,520,306
452,Pyr in SP layer,96,384,314
453,Pyr in SP layer,16,432,298
454,Pyr in SP layer,400,624,314
455,Pyr in SP layer,96,880,322
456,Pyr in SP layer,328,0,306
457,Pyr in SP layer,256,856,298
458,Pyr in SP layer,16,32,298
459,Pyr in SP layer,336,944,322
460,Pyr in SP layer,80,264,322
461,Pyr in SP layer,152,664,306
462,Pyr in SP layer,0,720,322
463,Pyr in SP layer,48,944,306
464,Pyr in SP layer,256,856,306
465,Pyr in SP layer,136,456,306
466,Pyr in SP layer,264,912,322
467,Pyr in SP layer,328,520,298
468,Pyr in SP layer,136,216,322
469,Pyr in SP layer,320,352,306
470,Pyr in SP layer,16,712,298
471,Pyr in SP layer,88,288,290
472,Pyr in SP layer,80,864,322
473,Pyr in SP layer,128,64,290
474,Pyr in SP layer,360,840,322
475,Pyr in SP layer,248,992,290
476,Pyr in SP layer,168,440,314
477,Pyr in SP layer,104,376,314
478,Pyr in SP layer,88,824,298
479,Pyr in SP layer,216,696,306
480,Pyr in SP layer,64,464,322
481,Pyr in SP layer,336,608,306
482,Pyr in SP layer,176,56,322
483,Pyr in SP layer,200,640,306
484,Pyr in SP layer,88,96,322
485,Pyr in SP layer,176,456,314
486,Pyr in SP layer,104,208,322
487,Pyr in SP layer,216,8,314
488,Pyr in SP layer,232,944,306
489,Pyr in SP layer,264,848,306
490,Pyr in SP layer,208,648,298
491,Pyr in SP layer,112,96,298
492,Pyr in SP layer,24,904,306
493,Pyr in SP layer,336,216,298
494,Pyr in SP layer,352,648,314
495,Pyr in SP layer,288,696,314
496,Pyr in SP layer,272,144,298
497,Pyr in SP layer,40,184,322
498,Pyr in SP layer,64,8,306
499,Pyr in SP layer,128,520,322
500,Pyr in SP layer,216,784,322
501,Pyr in SP layer,280,1000,314
502,Pyr in SP layer,88,432,306
503,Pyr in SP layer,152,184,298
504,Pyr in SP layer,304,272,314
505,Pyr in SP layer,240,432,290
506,Pyr in SP layer,144,648,306
507,Pyr in SP layer,256,960,314
508,Pyr in SP layer,232,264,322
509,Pyr in SP layer,392,928,290
510,Pyr in SP layer,120,768,322
511,Pyr in SP layer,336,896,322
512,Pyr in SP layer,80,552,298
513,Pyr in SP layer,360,688,322
514,Pyr in SP layer,192,776,298
515,Pyr in SP layer,288,392,322
516,Pyr in SP layer,400,648,298
517,Pyr in SP layer,320,672,306
518,Pyr in SP layer,288,688,306
519,Pyr in SP layer,104,912,322
520,Pyr in SP layer,224,744,322
521,Pyr in SP layer,304,520,314
522,Pyr in SP layer,184,784,314
523,Pyr in SP layer,96,528,314
524,Pyr in SP layer,144,408,322
525,Pyr in SP layer,288,560,298
526,Pyr in SP layer,160,352,322
527,Pyr in SP layer,240,376,298
528,Pyr in SP layer,8,248,306
529,Pyr in SP layer,392,856,314
530,Pyr in SP layer,336,440,314
531,Pyr in SP layer,360,216,290
532,Pyr in SP layer,184,728,322
533,Pyr in SP layer,136,864,314
534,Pyr in SP layer,352,704,306
535,Pyr in SP layer,32,736,290
536,Pyr in SP layer,376,584,306
537,Pyr in SP layer,304,848,314
538,Pyr in SP layer,336,80,290
539,Pyr in SP layer,96,832,290
540,Pyr in SP layer,32,552,306
541,Pyr in SP layer,8,592,314
542,Pyr in SP layer,40,432,322
543,Pyr in SP layer,200,168,290
544,Pyr in SP layer,360,152,322
545,Pyr in SP layer,88,440,290
546,Pyr in SP layer,240,496,290
547,Pyr in SP layer,152,488,314
548,Pyr in SP layer,16,992,290
549,Pyr in SP layer,200,616,306
550,Pyr in SP layer,376,224,322
551,Pyr in SP layer,128,952,306
552,Pyr in SP layer,128,296,298
553,Pyr in SP layer,72,792,322
554,Pyr in SP layer,32,584,314
555,Pyr in SP layer,328,824,298
556,Pyr in SP layer,168,944,298
557,Pyr in SP layer,40,616,290
558,Pyr in SP layer,224,944,314
559,Pyr in SP layer,32,824,298
560,Pyr in SP layer,72,920,306
561,Pyr in SP layer,24,72,290
562,Pyr in SP layer,272,920,314
563,Pyr in SP layer,360,560,306
564,Pyr in SP layer,0,992,306
565,Pyr in SP layer,312,640,290
566,Pyr in SP layer,400,80,290
567,Pyr in SP layer,368,872,298
568,Pyr in SP layer,88,136,306
569,Pyr in SP layer,288,904,306
570,Pyr in SP layer,264,608,298
571,Pyr in SP layer,64,528,290
572,Pyr in SP layer,392,0,314
573,Pyr in SP layer,32,1000,322
574,Pyr in SP layer,104,568,290
575,Pyr in SP layer,328,272,290
576,Pyr in SP layer,224,288,290
577,Pyr in SP layer,128,696,322
578,Pyr in SP layer,240,584,322
579,Pyr in SP layer,8,936,322
580,Pyr in SP layer,144,432,306
581,Pyr in SP layer,376,320,298
582,Pyr in SP layer,64,56,322
583,Pyr in SP layer,8,272,322
584,Pyr in SP layer,24,120,298
585,Pyr in SP layer,72,16,306
586,Pyr in SP layer,240,256,322
587,Pyr in SP layer,280,288,306
588,Pyr in SP layer,272,408,298
589,Pyr in SP layer,184,992,290
590,Pyr in SP layer,256,296,298
591,Pyr in SP layer,320,800,306
592,Pyr in SP layer,192,968,298
593,Pyr in SP layer,320,488,306
594,Pyr in SP layer,88,96,306
595,Pyr in SP layer,144,952,314
596,Pyr in SP layer,64,968,298
597,Pyr in SP layer,144,184,290
598,Pyr in SP layer,344,56,306
599,Pyr in SP layer,344,88,306
600,Pyr in SP layer,96,368,298
601,Pyr in SP layer,272,88,298
602,Pyr in SP layer,400,488,314
603,Pyr in SP layer,64,304,290
604,Pyr in SP layer,312,600,322
605,Pyr in SP layer,240,136,298
606,Pyr in SP layer,80,832,322
607,Pyr in SP layer,80,264,290
608,Pyr in SP layer,80,952,306
609,Pyr in SP layer,0,688,314
610,Pyr in SP layer,208,384,298
611,Pyr in SP layer,376,600,298
612,Pyr in SP layer,392,648,314
613,Pyr in SP layer,384,288,306
614,Pyr in SP layer,152,336,306
615,Pyr in SP layer,152,424,322
616,Pyr in SP layer,232,160,322
617,Pyr in SP layer,16,808,322
618,Pyr in SP layer,352,920,322
619,Pyr in SP layer,344,336,290
620,Pyr in SP layer,360,528,298
621,Pyr in SP layer,112,184,298
622,Pyr in SP layer,40,536,314
623,Pyr in SP layer,192,280,306
624,Pyr in SP layer,400,392,322
625,Pyr in SP layer,264,904,290
626,Pyr in SP layer,368,448,322
627,Pyr in SP layer,0,392,306
628,Pyr in SP layer,360,328,290
629,Pyr in SP layer,80,464,306
630,Pyr in SP layer,96,408,314
631,Pyr in SP layer,320,360,290
632,Pyr in SP layer,184,1000,306
633,Pyr in SP layer,168,24,314
634,Pyr in SP layer,128,64,322
635,Pyr in SP layer,344,864,314
636,Pyr in SP layer,104,624,298
637,Pyr in SP layer,128,336,314
638,Pyr in SP layer,104,960,298
639,Pyr in SP layer,400,0,298
640,Pyr in SP layer,16,480,306
641,Pyr in SP layer,360,40,314
642,Pyr in SP layer,344,728,298
643,Pyr in SP layer,224,584,290
644,Pyr in SP layer,240,664,290
645,Pyr in SP layer,56,136,314
646,Pyr in SP layer,8,232,306
647,Pyr in SP layer,216,912,290
648,Pyr in SP layer,216,392,306
649,Pyr in SP layer,368,800,306
650,Pyr in SP layer,264,424,314
651,Pyr in SP layer,64,360,322
652,Pyr in SP layer,336,368,290
653,Pyr in SP layer,72,296,298
654,Pyr in SP layer,312,368,322
655,Pyr in SP layer,56,576,290
656,Pyr in SP layer,40,776,314
657,Pyr in SP layer,376,680,306
658,Pyr in SP layer,120,728,290
659,Pyr in SP layer,344,624,322
660,Pyr in SP layer,368,536,290
661,Pyr in SP layer,136,632,314
662,Pyr in SP layer,96,424,322
663,Pyr in SP layer,184,656,298
664,Pyr in SP layer,296,8,306
665,Pyr in SP layer,216,0,322
666,Pyr in SP layer,216,96,290
667,Pyr in SP layer,344,936,322
668,Pyr in SP layer,80,424,306
669,Pyr in SP layer,240,512,322
670,Pyr in SP layer,128,88,298
671,Pyr in SP layer,112,480,298
672,Pyr in SP layer,240,392,298
673,Pyr in SP layer,80,904,322
674,Pyr in SP layer,216,32,314
675,Pyr in SP layer,168,152,306
676,Pyr in SP layer,360,696,298
677,Pyr in SP layer,360,464,290
678,Pyr in SP layer,256,928,322
679,Pyr in SP layer,72,520,290
680,Pyr in SP layer,168,144,298
681,Pyr in SP layer,184,192,322
682,Pyr in SP layer,40,160,322
683,Pyr in SP layer,144,512,322
684,Pyr in SP layer,24,408,314
685,Pyr in SP layer,232,104,298
686,Pyr in SP layer,232,608,314
687,Pyr in SP layer,400,760,314
688,Pyr in SP layer,368,0,290
689,Pyr in SP layer,256,0,306
690,Pyr in SP layer,32,616,298
691,Pyr in SP layer,80,456,306
692,Pyr in SP layer,104,424,298
693,Pyr in SP layer,352,920,298
694,Pyr in SP layer,184,744,314
695,Pyr in SP layer,312,688,290
696,Pyr in SP layer,392,72,290
697,Pyr in SP layer,120,680,322
698,Pyr in SP layer,264,304,306
699,Pyr in SP layer,72,672,306
700,Pyr in SP layer,320,16,322
701,Pyr in SP layer,224,288,298
702,Pyr in SP layer,376,784,290
703,Pyr in SP layer,280,288,322
704,Pyr in SP layer,328,736,306
705,Pyr in SP layer,264,280,298
706,Pyr in SP layer,264,312,314
707,Pyr in SP layer,152,688,306
708,Pyr in SP layer,152,632,306
709,Pyr in SP layer,272,288,290
710,Pyr in SP layer,400,776,322
711,Pyr in SP layer,72,256,298
712,Pyr in SP layer,256,880,290
713,Pyr in SP layer,152,704,298
714,Pyr in SP layer,40,624,298
715,Pyr in SP layer,80,792,290
716,Pyr in SP layer,344,176,290
717,Pyr in SP layer,304,560,290
718,Pyr in SP layer,232,0,298
719,Pyr in SP layer,344,392,322
720,Pyr in SP layer,96,88,290
721,Pyr in SP layer,344,472,290
722,Pyr in SP layer,104,272,290
723,Pyr in SP layer,40,920,314
724,Pyr in SP layer,88,824,290
725,Pyr in SP layer,152,952,322
726,Pyr in SP layer,40,968,298
727,Pyr in SP layer,344,32,290
728,Pyr in SP layer,0,568,290
729,Pyr in SP layer,72,424,306
730,Pyr in SP layer,296,464,314
731,Pyr in SP layer,32,40,290
732,Pyr in SP layer,136,608,290
733,Pyr in SP layer,248,760,290
734,Pyr in SP layer,352,760,314
735,Pyr in SP layer,32,776,298
736,Pyr in SP layer,240,760,290
737,Pyr in SP layer,384,384,306
738,Pyr in SP layer,312,816,322
739,Pyr in SP layer,96,184,306
740,Pyr in SP layer,184,720,306
741,Pyr in SP layer,8,64,322
742,Pyr in SP layer,0,600,290
743,Pyr in SP layer,168,448,322
744,Pyr in SP layer,392,608,322
745,Pyr in SP layer,264,0,290
746,Pyr in SP layer,112,448,314
747,Pyr in SP layer,320,712,298
748,Pyr in SP layer,112,24,298
749,Pyr in SP layer,152,840,298
750,Pyr in SP layer,152,976,322
751,Pyr in SP layer,240,88,298
752,Pyr in SP layer,88,224,290
753,Pyr in SP layer,336,464,290
754,Pyr in SP layer,200,496,306
755,Pyr in SP layer,296,352,290
756,Pyr in SP layer,160,624,306
757,Pyr in SP layer,200,136,306
758,Pyr in SP layer,368,648,298
759,Pyr in SP layer,312,448,290
760,Pyr in SP layer,48,648,314
761,Pyr in SP layer,376,896,322
762,Pyr in SP layer,120,576,298
763,Pyr in SP layer,336,976,322
764,Pyr in SP layer,400,712,314
765,Pyr in SP layer,312,1000,306
766,Pyr in SP layer,32,512,306
767,Pyr in SP layer,208,320,314
768,Pyr in SP layer,144,968,314
769,Pyr in SP layer,256,880,314
770,Pyr in SP layer,48,512,306
771,Pyr in SP layer,208,920,322
772,Pyr in SP layer,80,0,314
773,Pyr in SP layer,400,392,314
774,Pyr in SP layer,0,512,290
775,Pyr in SP layer,144,312,306
776,Pyr in SP layer,128,592,306
